T-4,T-3,T-2,T-1,T-0,Effort
-3.010777532,-3.77227039,-3.80994871,-2.959475793,-3.067498713,-1.817457752
-3.77227039,-3.80994871,-2.959475793,-3.067498713,-2.722495897,-1.73815319
-3.80994871,-2.959475793,-3.067498713,-2.722495897,-2.966520909,-1.663734551
-2.959475793,-3.067498713,-2.722495897,-2.966520909,-2.309601194,-1.663734551
-3.067498713,-2.722495897,-2.966520909,-2.309601194,-2.44546105,-1.515342602
-2.722495897,-2.966520909,-2.309601194,-2.44546105,-3.03171312,-1.458488171
-2.966520909,-2.309601194,-2.44546105,-3.03171312,-2.017487464,-1.382162973
-2.309601194,-2.44546105,-3.03171312,-2.017487464,-1.819360922,-1.331377858
-2.44546105,-3.03171312,-2.017487464,-1.819360922,-1.471847095,-1.093557419
-3.03171312,-2.017487464,-1.819360922,-1.471847095,-2.010955587,-0.945574196
-2.017487464,-1.819360922,-1.471847095,-2.010955587,-0.723763325,-0.745495904
-1.819360922,-1.471847095,-2.010955587,-0.723763325,-0.847750936,-0.606107688
-1.471847095,-2.010955587,-0.723763325,-0.847750936,-0.469581197,-0.439110831
-2.010955587,-0.723763325,-0.847750936,-0.469581197,-0.542552706,-0.298040136
-0.723763325,-0.847750936,-0.469581197,-0.542552706,0.040028516,-0.054469866
-0.847750936,-0.469581197,-0.542552706,0.040028516,-0.098670431,0.013291234
-0.469581197,-0.542552706,0.040028516,-0.098670431,-0.105701083,0.013291234
-0.542552706,0.040028516,-0.098670431,-0.105701083,0.130095658,0.444281203
0.040028516,-0.098670431,-0.105701083,0.130095658,1.309741616,0.388291157
-0.098670431,-0.105701083,0.130095658,1.309741616,0.854466778,0.677988114
-0.105701083,0.130095658,1.309741616,0.854466778,1.535805156,0.804869388
0.130095658,1.309741616,0.854466778,1.535805156,1.886635743,0.846273601
1.309741616,0.854466778,1.535805156,1.886635743,1.962181388,1.100754802
0.854466778,1.535805156,1.886635743,1.962181388,1.885242906,1.100754802
1.535805156,1.886635743,1.962181388,1.885242906,1.805634819,1.531869439
1.886635743,1.962181388,1.885242906,1.805634819,2.863453513,1.590708107
1.962181388,1.885242906,1.805634819,2.863453513,2.073669555,1.515358151
1.885242906,1.805634819,2.863453513,2.073669555,2.848160166,1.838156132
1.805634819,2.863453513,2.073669555,2.848160166,4.54233868,2.231571127
2.863453513,2.073669555,2.848160166,4.54233868,3.23796376,2.364473171
2.073669555,2.848160166,4.54233868,3.23796376,3.689919542,2.245777594
2.848160166,4.54233868,3.23796376,3.689919542,4.602440953,2.665643535
4.54233868,3.23796376,3.689919542,4.602440953,4.979034586,2.968125106
3.23796376,3.689919542,4.602440953,4.979034586,4.124773778,2.830361298
3.689919542,4.602440953,4.979034586,4.124773778,4.73637475,3.05910243
4.602440953,4.979034586,4.124773778,4.73637475,4.594100682,2.884202553
4.979034586,4.124773778,4.73637475,4.594100682,4.612023721,2.884202553
4.124773778,4.73637475,4.594100682,4.612023721,5.200557486,2.884202553
4.73637475,4.594100682,4.612023721,5.200557486,4.371787024,3.559943346
4.594100682,4.612023721,5.200557486,4.371787024,6.076835953,3.559943346
4.612023721,5.200557486,4.371787024,6.076835953,6.411243715,3.762567924
5.200557486,4.371787024,6.076835953,6.411243715,5.282808454,3.757671095
4.371787024,6.076835953,6.411243715,5.282808454,6.474241845,3.757671095
6.076835953,6.411243715,5.282808454,6.474241845,5.712419972,3.872406514
6.411243715,5.282808454,6.474241845,5.712419972,5.813747573,3.872406514
5.282808454,6.474241845,5.712419972,5.813747573,5.667972049,3.872406514
6.474241845,5.712419972,5.813747573,5.667972049,5.298565348,3.605338835
5.712419972,5.813747573,5.667972049,5.298565348,5.015588398,3.605338835
5.813747573,5.667972049,5.298565348,5.015588398,6.149816238,3.605338835
5.667972049,5.298565348,5.015588398,6.149816238,5.575443059,3.605338835
5.298565348,5.015588398,6.149816238,5.575443059,5.379137551,3.605338835
5.015588398,6.149816238,5.575443059,5.379137551,5.31661786,3.605338835
6.149816238,5.575443059,5.379137551,5.31661786,5.265431722,3.605338835
5.575443059,5.379137551,5.31661786,5.265431722,5.078300961,3.605338835
5.379137551,5.31661786,5.265431722,5.078300961,5.593683964,3.605338835
5.31661786,5.265431722,5.078300961,5.593683964,5.193547695,3.605338835
5.265431722,5.078300961,5.593683964,5.193547695,4.585783877,3.605338835
5.078300961,5.593683964,5.193547695,4.585783877,3.850155495,3.605338835
5.593683964,5.193547695,4.585783877,3.850155495,4.479107688,3.605338835
5.193547695,4.585783877,3.850155495,4.479107688,3.520602951,3.605338835
4.585783877,3.850155495,4.479107688,3.520602951,4.2727448,3.605338835
3.850155495,4.479107688,3.520602951,4.2727448,3.95895455,3.605338835
4.479107688,3.520602951,4.2727448,3.95895455,3.720676802,3.605338835
3.520602951,4.2727448,3.95895455,3.720676802,3.439791473,3.605338835
4.2727448,3.95895455,3.720676802,3.439791473,3.599970361,3.605338835
3.95895455,3.720676802,3.439791473,3.599970361,3.761919475,3.605338835
3.720676802,3.439791473,3.599970361,3.761919475,3.42443086,3.605338835
3.439791473,3.599970361,3.761919475,3.42443086,3.644832263,3.605338835
3.599970361,3.761919475,3.42443086,3.644832263,3.110289227,3.219821925
3.761919475,3.42443086,3.644832263,3.110289227,3.046011276,3.094900493
3.42443086,3.644832263,3.110289227,3.046011276,3.117201289,2.983106559
3.644832263,3.110289227,3.046011276,3.117201289,3.446960415,2.983106559
3.110289227,3.046011276,3.117201289,3.446960415,2.820444389,2.595167384
3.046011276,3.117201289,3.446960415,2.820444389,3.877114018,2.427494913
3.117201289,3.446960415,2.820444389,3.877114018,3.533999993,2.35580146
3.446960415,2.820444389,3.877114018,3.533999993,2.939752621,2.287185495
2.820444389,3.877114018,3.533999993,2.939752621,3.677050057,2.174148011
3.877114018,3.533999993,2.939752621,3.677050057,2.978406607,2.07178314
3.533999993,2.939752621,3.677050057,2.978406607,2.980634362,1.931771706
2.939752621,3.677050057,2.978406607,2.980634362,2.813776025,1.822901846
3.677050057,2.978406607,2.980634362,2.813776025,2.325656995,1.684402476
2.978406607,2.980634362,2.813776025,2.325656995,2.937420563,1.593205764
2.980634362,2.813776025,2.325656995,2.937420563,2.468115517,1.514910578
2.813776025,2.325656995,2.937420563,2.468115517,2.139122595,1.423370008
2.325656995,2.937420563,2.468115517,2.139122595,2.47715514,1.382314684
2.937420563,2.468115517,2.139122595,2.47715514,3.095014814,1.337828514
2.468115517,2.139122595,2.47715514,3.095014814,1.840502243,1.320872447
2.139122595,2.47715514,3.095014814,1.840502243,1.890536849,1.235965539
2.47715514,3.095014814,1.840502243,1.890536849,1.488235747,1.143560193
3.095014814,1.840502243,1.890536849,1.488235747,1.352900821,0.926839155
1.840502243,1.890536849,1.488235747,1.352900821,0.746632933,0.825617939
1.890536849,1.488235747,1.352900821,0.746632933,1.584485776,0.629502285
1.488235747,1.352900821,0.746632933,1.584485776,0.688372561,0.479583684
1.352900821,0.746632933,1.584485776,0.688372561,0.70231259,0.238445878
0.746632933,1.584485776,0.688372561,0.70231259,0.275235175,0.160056741
1.584485776,0.688372561,0.70231259,0.275235175,0.089052069,0.089388759
0.688372561,0.70231259,0.275235175,0.089052069,-0.087477295,0.062293758
0.70231259,0.275235175,0.089052069,-0.087477295,0.085524267,0.010560542
0.275235175,0.089052069,-0.087477295,0.085524267,0.634508473,0.042670393
0.089052069,-0.087477295,0.085524267,0.634508473,-0.849031634,-0.568535275
-0.087477295,0.085524267,0.634508473,-0.849031634,-0.988391876,-0.680804324
0.085524267,0.634508473,-0.849031634,-0.988391876,-1.031521565,-0.737659645
0.634508473,-0.849031634,-0.988391876,-1.031521565,-2.080172451,-0.765800629
-0.849031634,-0.988391876,-1.031521565,-2.080172451,-1.6431504,-1.033814763
-0.988391876,-1.031521565,-2.080172451,-1.6431504,-1.870891539,-1.202921486
-1.031521565,-2.080172451,-1.6431504,-1.870891539,-2.670760722,-1.355639652
-2.080172451,-1.6431504,-1.870891539,-2.670760722,-2.225932188,-1.564751122
-1.6431504,-1.870891539,-2.670760722,-2.225932188,-2.76207709,-1.752337629
-1.870891539,-2.670760722,-2.225932188,-2.76207709,-3.108382731,-1.872531304
-2.670760722,-2.225932188,-2.76207709,-3.108382731,-3.758006116,-2.167859894
-2.225932188,-2.76207709,-3.108382731,-3.758006116,-3.598995946,-2.259880182
-2.76207709,-3.108382731,-3.758006116,-3.598995946,-4.596732296,-2.431469943
-3.108382731,-3.758006116,-3.598995946,-4.596732296,-3.929352096,-2.669577456
-3.758006116,-3.598995946,-4.596732296,-3.929352096,-4.690059192,-2.911544523
-3.598995946,-4.596732296,-3.929352096,-4.690059192,-3.856034695,-2.714396767
-4.596732296,-3.929352096,-4.690059192,-3.856034695,-4.263202031,-2.895728206
-3.929352096,-4.690059192,-3.856034695,-4.263202031,-6.199397496,-3.313006106
-4.690059192,-3.856034695,-4.263202031,-6.199397496,-4.147839588,-3.315884807
-3.856034695,-4.263202031,-6.199397496,-4.147839588,-4.19224129,-3.278198861
-4.263202031,-6.199397496,-4.147839588,-4.19224129,-7.494108132,-3.114717862
-6.199397496,-4.147839588,-4.19224129,-7.494108132,-3.359478253,-3.114717862
-4.147839588,-4.19224129,-7.494108132,-3.359478253,-5.470813246,-3.237868557
-4.19224129,-7.494108132,-3.359478253,-5.470813246,-5.742934889,-3.61368018
-7.494108132,-3.359478253,-5.470813246,-5.742934889,-5.825819749,-3.61368018
-3.359478253,-5.470813246,-5.742934889,-5.825819749,-6.269975662,-3.711776007
-5.470813246,-5.742934889,-5.825819749,-6.269975662,-5.24393478,-3.711776007
-5.742934889,-5.825819749,-6.269975662,-5.24393478,-4.910730961,-3.711776007
-5.825819749,-6.269975662,-5.24393478,-4.910730961,-5.187649288,-3.982507282
-6.269975662,-5.24393478,-4.910730961,-5.187649288,-6.706196565,-3.982507282
-5.24393478,-4.910730961,-5.187649288,-6.706196565,-5.230496147,-3.982507282
-4.910730961,-5.187649288,-6.706196565,-5.230496147,-5.507885751,-3.982507282
-5.187649288,-6.706196565,-5.230496147,-5.507885751,-5.29679512,-3.982507282
-6.706196565,-5.230496147,-5.507885751,-5.29679512,-5.183691445,-4.198064506
-5.230496147,-5.507885751,-5.29679512,-5.183691445,-5.861000052,-4.198064506
-5.507885751,-5.29679512,-5.183691445,-5.861000052,-5.359003018,-4.336063994
-5.29679512,-5.183691445,-5.861000052,-5.359003018,-4.527505102,-4.336063994
-5.183691445,-5.861000052,-5.359003018,-4.527505102,-4.620273368,-4.336063994
-5.861000052,-5.359003018,-4.527505102,-4.620273368,-4.435771584,-4.336063994
-5.359003018,-4.527505102,-4.620273368,-4.435771584,-3.946097818,-4.082531911
-4.527505102,-4.620273368,-4.435771584,-3.946097818,-3.830221432,-4.118081934
-4.620273368,-4.435771584,-3.946097818,-3.830221432,-3.878412658,-4.118081934
-4.435771584,-3.946097818,-3.830221432,-3.878412658,-4.158516463,-3.996453959
-3.946097818,-3.830221432,-3.878412658,-4.158516463,-4.052101463,-4.046484152
-3.830221432,-3.878412658,-4.158516463,-4.052101463,-4.006841217,-4.014778105
-3.878412658,-4.158516463,-4.052101463,-4.006841217,-4.177160482,-3.813228638
-4.158516463,-4.052101463,-4.006841217,-4.177160482,-4.261511236,-3.735585636
-4.052101463,-4.006841217,-4.177160482,-4.261511236,-3.926572738,-3.735585636
-4.006841217,-4.177160482,-4.261511236,-3.926572738,-3.36202601,-3.461312816
-4.177160482,-4.261511236,-3.926572738,-3.36202601,-3.639807435,-3.461312816
-4.261511236,-3.926572738,-3.36202601,-3.639807435,-3.574512159,-3.461312816
-3.926572738,-3.36202601,-3.639807435,-3.574512159,-2.888608543,-2.998463906
-3.36202601,-3.639807435,-3.574512159,-2.888608543,-2.935316004,-2.998463906
-3.639807435,-3.574512159,-2.888608543,-2.935316004,-2.757158839,-2.998463906
-3.574512159,-2.888608543,-2.935316004,-2.757158839,-2.819708947,-2.54051014
-2.888608543,-2.935316004,-2.757158839,-2.819708947,-2.345297318,-2.546958617
-2.935316004,-2.757158839,-2.819708947,-2.345297318,-3.624445279,-2.403514875
-2.757158839,-2.819708947,-2.345297318,-3.624445279,-4.624150733,-2.350566432
-2.819708947,-2.345297318,-3.624445279,-4.624150733,-3.916649627,-2.271914352
-2.345297318,-3.624445279,-4.624150733,-3.916649627,-3.156591725,-2.154687083
-3.624445279,-4.624150733,-3.916649627,-3.156591725,-3.208949454,-2.06299548
-4.624150733,-3.916649627,-3.156591725,-3.208949454,-3.59238928,-1.951798492
-3.916649627,-3.156591725,-3.208949454,-3.59238928,-3.317195908,-1.858934878
-3.156591725,-3.208949454,-3.59238928,-3.317195908,-2.691984466,-1.780351444
-3.208949454,-3.59238928,-3.317195908,-2.691984466,-2.447322623,-1.677951635
-3.59238928,-3.317195908,-2.691984466,-2.447322623,-2.753475292,-1.545596453
-3.317195908,-2.691984466,-2.447322623,-2.753475292,-1.896611424,-1.501706254
-2.691984466,-2.447322623,-2.753475292,-1.896611424,-1.76501649,-1.464645613
-2.447322623,-2.753475292,-1.896611424,-1.76501649,-2.343295758,-1.390386709
-2.753475292,-1.896611424,-1.76501649,-2.343295758,-2.365460334,-1.26805678
-1.896611424,-1.76501649,-2.343295758,-2.365460334,-1.563096218,-1.028920919
-1.76501649,-2.343295758,-2.365460334,-1.563096218,-0.694997765,-0.845417164
-2.343295758,-2.365460334,-1.563096218,-0.694997765,-0.821831976,-0.624735795
-2.365460334,-1.563096218,-0.694997765,-0.821831976,-0.657980299,-0.351962888
-1.563096218,-0.694997765,-0.821831976,-0.657980299,0.094775975,-0.251732177
-0.694997765,-0.821831976,-0.657980299,0.094775975,0.090781054,-0.046247628
-0.821831976,-0.657980299,0.094775975,0.090781054,0.093533084,0.201285077
-0.657980299,0.094775975,0.090781054,0.093533084,0.878146371,0.357975496
0.094775975,0.090781054,0.093533084,0.878146371,0.941032966,0.586755245
0.090781054,0.093533084,0.878146371,0.941032966,0.949004547,0.586755245
0.093533084,0.878146371,0.941032966,0.949004547,1.31113414,0.856688231
0.878146371,0.941032966,0.949004547,1.31113414,1.0122522,0.856688231
0.941032966,0.949004547,1.31113414,1.0122522,1.071897774,0.856688231
0.949004547,1.31113414,1.0122522,1.071897774,1.04662087,0.856688231
1.31113414,1.0122522,1.071897774,1.04662087,1.711625259,0.856688231
1.0122522,1.071897774,1.04662087,1.711625259,1.390641924,0.856688231
1.071897774,1.04662087,1.711625259,1.390641924,1.121512803,0.856688231
1.04662087,1.711625259,1.390641924,1.121512803,1.116377677,0.856688231
1.711625259,1.390641924,1.121512803,1.116377677,3.419057394,2.464644724
1.390641924,1.121512803,1.116377677,3.419057394,3.410956341,2.464644724
1.121512803,1.116377677,3.419057394,3.410956341,4.153471092,2.464644724
1.116377677,3.419057394,3.410956341,4.153471092,4.547184944,2.464644724
3.419057394,3.410956341,4.153471092,4.547184944,4.16816747,2.464644724
3.410956341,4.153471092,4.547184944,4.16816747,3.891803528,2.464644724
4.153471092,4.547184944,4.16816747,3.891803528,3.484091594,2.464644724
4.547184944,4.16816747,3.891803528,3.484091594,6.893242988,3.752060682
4.16816747,3.891803528,3.484091594,6.893242988,5.930773818,3.752060682
3.891803528,3.484091594,6.893242988,5.930773818,5.729479808,3.752060682
3.484091594,6.893242988,5.930773818,5.729479808,5.365935733,3.752060682
6.893242988,5.930773818,5.729479808,5.365935733,5.768388084,3.752060682
5.930773818,5.729479808,5.365935733,5.768388084,6.533094406,3.752060682
5.729479808,5.365935733,5.768388084,6.533094406,5.304007592,3.752060682
5.365935733,5.768388084,6.533094406,5.304007592,6.456158596,3.752060682
5.768388084,6.533094406,5.304007592,6.456158596,6.362248645,3.752060682
6.533094406,5.304007592,6.456158596,6.362248645,6.280279833,3.752060682
5.304007592,6.456158596,6.362248645,6.280279833,5.576030425,3.752060682
6.456158596,6.362248645,6.280279833,5.576030425,5.975476085,3.752060682
6.362248645,6.280279833,5.576030425,5.975476085,8.970089046,5.189206337
6.280279833,5.576030425,5.975476085,8.970089046,8.822226802,5.189206337
5.576030425,5.975476085,8.970089046,8.822226802,8.274093822,5.189206337
5.975476085,8.970089046,8.822226802,8.274093822,7.073480731,5.189206337
8.970089046,8.822226802,8.274093822,7.073480731,8.744392561,5.189206337
8.822226802,8.274093822,7.073480731,8.744392561,7.277909471,5.189206337
8.274093822,7.073480731,8.744392561,7.277909471,7.043298199,5.189206337
7.073480731,8.744392561,7.277909471,7.043298199,6.45292195,5.189206337
8.744392561,7.277909471,7.043298199,6.45292195,5.255523373,5.189206337
7.277909471,7.043298199,6.45292195,5.255523373,6.922226826,5.189206337
7.043298199,6.45292195,5.255523373,6.922226826,5.726698523,5.189206337
6.45292195,5.255523373,6.922226826,5.726698523,5.392491375,5.189206337
5.255523373,6.922226826,5.726698523,5.392491375,4.873773677,5.189206337
6.922226826,5.726698523,5.392491375,4.873773677,4.680906338,5.189206337
5.726698523,5.392491375,4.873773677,4.680906338,5.416427428,5.189206337
5.392491375,4.873773677,4.680906338,5.416427428,5.320886091,5.189206337
4.873773677,4.680906338,5.416427428,5.320886091,4.929747963,5.189206337
4.680906338,5.416427428,5.320886091,4.929747963,5.158269635,5.189206337
5.416427428,5.320886091,4.929747963,5.158269635,5.092607884,5.189206337
5.320886091,4.929747963,5.158269635,5.092607884,5.232522761,5.189206337
4.929747963,5.158269635,5.092607884,5.232522761,4.924318524,5.189206337
5.158269635,5.092607884,5.232522761,4.924318524,4.333904998,4.066837116
5.092607884,5.232522761,4.924318524,4.333904998,4.059665579,4.066837116
5.232522761,4.924318524,4.333904998,4.059665579,4.012759897,4.066837116
4.924318524,4.333904998,4.059665579,4.012759897,4.072448943,4.066837116
4.333904998,4.059665579,4.012759897,4.072448943,3.913430873,4.066837116
4.059665579,4.012759897,4.072448943,3.913430873,3.792289236,4.066837116
4.012759897,4.072448943,3.913430873,3.792289236,3.965149073,4.066837116
4.072448943,3.913430873,3.792289236,3.965149073,6.312285619,4.066837116
3.913430873,3.792289236,3.965149073,6.312285619,3.983759912,2.63347149
3.792289236,3.965149073,6.312285619,3.983759912,3.544121819,2.63347149
3.965149073,6.312285619,3.983759912,3.544121819,4.399579361,2.63347149
6.312285619,3.983759912,3.544121819,4.399579361,3.760695876,2.63347149
3.983759912,3.544121819,4.399579361,3.760695876,3.491115844,2.286801657
3.544121819,4.399579361,3.760695876,3.491115844,3.649566009,2.175923069
4.399579361,3.760695876,3.491115844,3.649566009,3.077817268,2.017284631
3.760695876,3.491115844,3.649566009,3.077817268,2.949491203,2.017284631
3.491115844,3.649566009,3.077817268,2.949491203,3.452821488,2.017284631
3.649566009,3.077817268,2.949491203,3.452821488,2.762697971,2.017284631
3.077817268,2.949491203,3.452821488,2.762697971,4.568761968,2.017284631
2.949491203,3.452821488,2.762697971,4.568761968,2.271657825,2.017284631
3.452821488,2.762697971,4.568761968,2.271657825,1.999295432,1.278626014
2.762697971,4.568761968,2.271657825,1.999295432,2.107948045,1.180372894
4.568761968,2.271657825,1.999295432,2.107948045,1.662587074,1.00292292
2.271657825,1.999295432,2.107948045,1.662587074,0.954763351,0.776173043
1.999295432,2.107948045,1.662587074,0.954763351,0.716573119,0.681385149
2.107948045,1.662587074,0.954763351,0.716573119,0.391609946,0.440594005
1.662587074,0.954763351,0.716573119,0.391609946,-0.076589578,0.327324624
0.954763351,0.716573119,0.391609946,-0.076589578,0.262125411,0.327324624
0.716573119,0.391609946,-0.076589578,0.262125411,0.612800487,0.327324624
0.391609946,-0.076589578,0.262125411,0.612800487,0.580388634,0.327324624
-0.076589578,0.262125411,0.612800487,0.580388634,0.344330479,0.327324624
0.262125411,0.612800487,0.580388634,0.344330479,0.283973628,0.327324624
0.612800487,0.580388634,0.344330479,0.283973628,0.309694105,0.327324624
0.580388634,0.344330479,0.283973628,0.309694105,-0.88777486,-0.77517555
0.344330479,0.283973628,0.309694105,-0.88777486,-1.203284026,-0.926311809
0.283973628,0.309694105,-0.88777486,-1.203284026,-1.761666191,-0.926311809
0.309694105,-0.88777486,-1.203284026,-1.761666191,-1.805008132,-0.926311809
-0.88777486,-1.203284026,-1.761666191,-1.805008132,-2.069516519,-1.625408119
-1.203284026,-1.761666191,-1.805008132,-2.069516519,-3.553014265,-1.625408119
-1.761666191,-1.805008132,-2.069516519,-3.553014265,-2.487164804,-1.625408119
-1.805008132,-2.069516519,-3.553014265,-2.487164804,-2.53646969,-1.625408119
-2.069516519,-3.553014265,-2.487164804,-2.53646969,-2.14304896,-1.625408119
-3.553014265,-2.487164804,-2.53646969,-2.14304896,-2.091940942,-1.625408119
-2.487164804,-2.53646969,-2.14304896,-2.091940942,-3.189771573,-1.625408119
-2.53646969,-2.14304896,-2.091940942,-3.189771573,-2.747714533,-1.625408119
-2.14304896,-2.091940942,-3.189771573,-2.747714533,-2.782234784,-1.625408119
-2.091940942,-3.189771573,-2.747714533,-2.782234784,-1.891283245,-1.625408119
-3.189771573,-2.747714533,-2.782234784,-1.891283245,-2.251212151,-1.625408119
-2.747714533,-2.782234784,-1.891283245,-2.251212151,-2.352546956,-1.625408119
