time index height
0.01 0 0.0
0.02 0 0.0260046159962
0.03 0 0.0271952461474
0.04 0 0.028748180978
0.05 0 0.028748180978
0.06 0 0.028748180978
0.07 0 0.0425673579601
0.08 0 0.0471585823649
0.09 0 0.051578565774
0.1 0 0.0543021156658
0.11 0 0.058978858242
0.12 0 0.0648537790485
0.13 0 0.0693201370901
0.14 0 0.0745946760673
0.15 0 0.0769882641674
0.16 0 0.0779704178268
0.17 0 0.0815854531053
0.18 0 0.0820744609952
0.19 0 0.0829396957786
0.2 0 0.0827546131307
0.21 0 0.0817914220044
0.22 0 0.081392769233
0.23 0 0.0789683473032
0.24 0 0.077773703261
0.25 0 0.0739777802372
0.26 0 0.0690102516074
0.27 0 0.0665227012771
0.28 0 0.0590962465056
0.29 0 0.0533567577777
0.3 0 0.0442377814046
0.31 0 0.0381622049245
0.32 0 0.0304475035363
0.33 0 0.0299058120251
0.34 0 0.0297928461027
0.35 0 0.0297674396307
0.36 0 0.0297519622249
0.37 0 0.0297519622249
0.38 0 0.0303678429386
0.39 0 0.0308843099977
0.4 0 0.0315579725162
0.41 0 0.0334031131013
0.42 0 0.0334031131013
0.43 0 0.0349675774498
0.44 0 0.0362740126952
0.45 0 0.0380792950346
0.46 0 0.0395814580291
0.47 0 0.039916177761
0.48 0 0.0407596763368
0.49 0 0.0410675133604
0.5 0 0.0409626316586
0.51 0 0.0409150622255
0.52 0 0.0403524340594
0.53 0 0.0402540778467
0.54 0 0.0388452586628
0.55 0 0.0388452586628
0.56 0 0.0384087095899
0.57 0 0.0374777131628
0.58 0 0.0374777131628
0.59 0 0.0382594870679
0.6 0 0.0387269589601
0.61 0 0.0395318108231
0.62 0 0.0396422893108
0.63 0 0.0404130756941
0.64 0 0.0405580312603
0.65 0 0.0403360014733
0.66 0 0.0401340476315
0.67 0 0.0399640371974
0.68 0 0.0399305361703
0.69 0 0.0399680714104
0.7 0 0.0401902023994
0.71 0 0.0404162542359
0.72 0 0.0406538879086
0.73 0 0.0408988564047
0.74 0 0.0411300298725
0.75 0 0.0411987528348
0.76 0 0.0415786472327
0.77 0 0.0418815713899
0.78 0 0.042140117823
0.79 0 0.0419796376593
0.8 0 0.0418291104477
0.81 0 0.0415003191391
0.82 0 0.0413320703676
0.83 0 0.0405552793836
0.84 0 0.0404827193118
0.85 0 0.0397647772864
0.86 0 0.0397647772864
0.87 0 0.0393972248834
0.88 0 0.039103620463
0.89 0 0.0389949603087
0.9 0 0.0390457469297
0.91 0 0.0391893684619
0.92 0 0.0402267683925
